proveedor,categoria_proveedor,nombre_certificacion,codigo_examen,nivel,area_foco,precio_usd,validez_meses,estado,plataforma_examen,url_oficial
NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – Agentic AI,NCP-AAI,Professional,Sistemas Agénticos / Multi-agent Orchestration,200,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/
NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – OpenUSD Development,NCP-OUSD,Professional,OpenUSD / 3D Content / Simulación,200,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/openusd-development-professional/
IBM,AI / Datos,IBM Certified watsonx Data Scientist – Associate,C1000-177,Associate,Data Science / AutoAI / watsonx.ai,200,24,Activa,Pearson VUE,https://www.ibm.com/training/certification/ibm-certified-watsonx-data-scientist-associate-C9006400
IBM,AI / Datos,IBM Certified watsonx Generative AI Engineer – Associate,C1000-185,Associate,GenAI / LLMs / Prompt Engineering / watsonx.ai,200,24,Activa,Pearson VUE,https://www.ibm.com/training/certification/ibm-certified-watsonx-generative-ai-engineer-associate-C9007000
IBM,AI / Datos,IBM Certified watsonx AI Assistant Engineer – Professional,C1000-180,Professional,watsonx Assistant / LLM Governance / NLP,200,24,Activa,Pearson VUE,https://www.ibm.com/training/certification/ibm-certified-watsonx-ai-assistant-engineer-v1-professional-C9006900
IBM,AI / Datos,IBM Certified Architect – Cloud Pak for Data v4.7,C1000-173,Architect,Data Fabric / AI/ML Governance / Cloud Pak for Data,200,24,Activa,Pearson VUE,https://www.ibm.com/certify/cert?id=C1000-173
IBM,AI / Datos,IBM Certified Specialist – AI Enterprise Workflow V1,C0004400,Specialist,AI Workflow Empresarial / Data Science Lifecycle / Watson Studio,200,24,Activa,Pearson VUE,https://www.ibm.com/certify/cert?id=C0004400
Tableau (Salesforce),Business Intelligence,Salesforce Certified Tableau Desktop Foundations,Analytics-101,Foundation,BI / Visualización de datos básica,100,,Activa,Trailhead Academy,https://trailheadacademy.salesforce.com/certificate/exam-tableau-desktop-found---Analytics-101
Tableau (Salesforce),Business Intelligence,Salesforce Certified Tableau Data Analyst,Analytics-DA-201,Professional,Data Analytics / Visualización avanzada,250,24,Activa,Trailhead Academy,https://trailheadacademy.salesforce.com/certificate/exam-tableau-data-analyst---Analytics-DA-201
Tableau (Salesforce),Business Intelligence,Salesforce Certified Tableau Consultant,Analytics-Con-301,Professional,BI / Consultoría de Analytics,200,24,Activa,Trailhead Academy,https://trailheadacademy.salesforce.com/certificate/exam-tableau-consultant---Analytics-Con-301
Tableau (Salesforce),Business Intelligence,Salesforce Certified Tableau Architect,Analytics-Arch-201,Expert,Arquitectura Tableau Server y Cloud,400,24,Activa,Trailhead Academy,https://trailheadacademy.salesforce.com/certificate/exam-tableau-architect---Analytics-Arch-201
Qlik,Business Intelligence,Qlik Sense Business Analyst,QSBA2024,Professional,BI / Analytics / Visualización,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik Sense Data Architect,QSDA2024,Professional,Arquitectura de datos / Analytics,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik Sense System Administrator,QSSA2024,Professional,Administración de plataforma Qlik,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik AI Specialist,QAIS,Specialist,AI / ML / GenAI en Qlik,250,24,Activa,Qlik Learning Platform,https://learning.qlik.com/student/page/2537679-qlik-ai-specialist-certification-exam
Qlik,Business Intelligence,Qlik Talend Cloud Administrator,TCCA,Professional,Cloud Data Integration / Administración,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik Talend Data Integration Administrator,TDICA,Professional,Data Integration / Administración,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik Talend Data Quality Implementer,TDQCI,Professional,Calidad de datos,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik Talend Data Catalog Implementer,TDCCI,Professional,Data Catalog / Governance,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik Talend Big Data Developer,TBDCDTS,Professional,Big Data / Data Integration (Talend Studio),250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik Talend Data Integration Developer,TDICDTS,Professional,Data Integration Development (Talend Studio),250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik Replicate,QREP,Professional,Data Integration / CDC / Replicación,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,Qlik Compose,QCOM,Professional,Data Warehousing / Integración,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,QlikView Business Analyst (Legacy),QV12BA,Professional,BI / Analytics (QlikView),250,24,Activa (Legacy),Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,QlikView Data Architect (Legacy),QV12DA,Professional,Arquitectura de datos (QlikView),250,24,Activa (Legacy),Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Qlik,Business Intelligence,QlikView System Administrator (Legacy),QV12SA,Professional,Administración de plataforma (QlikView),250,24,Activa (Legacy),Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications
Confluent,Data Streaming,Confluent Fundamentals Accreditation,,Foundational,Apache Kafka Fundamentals / Streaming,0,24,Activa,Portal Confluent,https://training.confluent.io/learningpath/confluent-fundamentals-accreditation
Confluent,Data Streaming,Confluent Certified Developer for Apache Kafka,CCDAK,Professional,Kafka Development / Producers / Consumers / Streams,150,24,Activa,Portal Confluent,https://training.confluent.io/examdetail/confluent-dev
Confluent,Data Streaming,Confluent Certified Administrator for Apache Kafka,CCAAK,Professional,Kafka Administration / Clusters / Monitoreo,150,24,Activa,Portal Confluent,https://www.confluent.io/certification/
Confluent,Data Streaming,Confluent Cloud Certified Operator,CCAC,Professional,Confluent Cloud / Cluster Linking / Stream Governance,150,24,Activa,Portal Confluent,https://training.confluent.io/examdetail/confluent-cloud-certified-operator
MongoDB,Base de Datos NoSQL,MongoDB Associate Developer,C100DEV,Associate,NoSQL Development / Node.js / Python / Java,150,,Activa (version-tied),MongoDB University,https://learn.mongodb.com/pages/mongodb-associate-developer-exam
MongoDB,Base de Datos NoSQL,MongoDB Associate Database Administrator,C100DBA,Associate,Database Administration / Deployment / Seguridad,150,,Activa (version-tied),MongoDB University,https://learn.mongodb.com/pages/mongodb-associate-database-administrator-exam
MongoDB,Base de Datos NoSQL,MongoDB Associate Data Modeler,,Associate,Diseño de esquemas / Patrones de modelado NoSQL,150,,Activa (version-tied),MongoDB University,https://learn.mongodb.com/pages/mongodb-associate-data-modeler-exam
MongoDB,Base de Datos NoSQL,MongoDB Associate Atlas Administrator,,Associate,MongoDB Atlas / Cloud / Operaciones / Escalado,150,,Activa (version-tied),MongoDB University,https://learn.mongodb.com/pages/mongodb-associate-atlas-administrator-exam
Oracle,Cloud / Datos / AI,OCI 2025 AI Foundations Associate,1Z0-1122-25,Associate,AI / ML Fundamentos / Servicios OCI AI / GenAI,0,24,Activa,Pearson VUE,https://education.oracle.com/oracle-cloud-infrastructure-2025-certified-ai-foundations-associate/trackp_OCI25AICFA
Oracle,Cloud / Datos / AI,OCI 2025 Generative AI Professional,1Z0-1127-25,Professional,GenAI / RAG / Fine-tuning / OCI GenAI Service,245,24,Activa,Pearson VUE,https://education.oracle.com/oracle-cloud-infrastructure-2025-generative-ai-professional/pexam_1Z0-1127-25
Oracle,Cloud / Datos / AI,OCI 2025 Data Science Professional,1Z0-1110-25,Professional,ML Pipelines / ADS SDK / MLOps en OCI,245,24,Activa,Pearson VUE,https://education.oracle.com/oracle-cloud-infrastructure-2024-data-science-professional/pexam_1Z0-1110-25
Oracle,Cloud / Datos / AI,Oracle Database SQL Specialist,1Z0-071,Specialist,SQL / DML / DDL / Índices / Oracle Database,245,24,Activa,Pearson VUE,https://education.oracle.com/
Oracle,Cloud / Datos / AI,Oracle Autonomous Database Cloud Professional,1Z0-931-21,Professional,Autonomous Data Warehouse / ATP / Oracle ML,245,24,Activa,Pearson VUE,https://education.oracle.com/
SAS Institute,Analytics / ML,SAS Certified Specialist: Base Programming Using SAS 9,A00-231,Specialist,Programación SAS 9.4 / DATA Step / PROC SQL,120,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/foundation-tools/programming-fundamentals.html
SAS Institute,Analytics / ML,SAS Certified Specialist: Machine Learning Using SAS Viya,A00-401,Specialist,ML Supervisado / Pipelines / Evaluación de modelos,180,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/machine-learning-using-sas-viya.html
SAS Institute,Analytics / ML,SAS Certified Specialist: Forecasting and Optimization,A00-403,Specialist,Series temporales / Forecasting / Optimización,180,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/forecasting-optimization-using-viya.html
SAS Institute,Analytics / ML,SAS Certified Specialist: Natural Language Processing and Computer Vision,A00-407,Specialist,NLP / Text Analytics / Computer Vision,180,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/natural-language-computer-vision-specialist.html
SAS Institute,Analytics / ML,SAS Certified Specialist: Statistics for Machine Learning,A00-412,Specialist,Estadística para ML / Regresión / ANOVA / Modelos mixtos,180,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/
SAS Institute,Analytics / ML,SAS Certified Professional: AI and Machine Learning,A00-401+A00-403+A00-407,Professional,AI/ML amplio (automático al obtener 3 Specialist),0,60,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/ai-machine-learning-pro.html
SAS Institute,Analytics / ML,SAS Certified Data Scientist,Compuesta,Professional,Data Science end-to-end: programación + ML + analytics,0,60,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/data-scientist.html
DAMA International,Data Governance / Management,CDMP Associate,,Associate,Data Management / DMBOK2 (14 knowledge areas),311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
DAMA International,Data Governance / Management,CDMP Practitioner,,Practitioner,DMBOK2 Fundamentals + 2 Specialist / 2+ años experiencia,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
DAMA International,Data Governance / Management,CDMP Master,,Master,DMBOK2 Fundamentals + 2 Specialist / 10+ años experiencia,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
DAMA International,Data Governance / Management,CDMP Specialist: Data Quality,,Specialist Add-on,Data Quality / Métricas / Frameworks,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
DAMA International,Data Governance / Management,CDMP Specialist: Data Governance,,Specialist Add-on,Gobierno de datos / Stewardship / Políticas,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
DAMA International,Data Governance / Management,CDMP Specialist: Metadata Management,,Specialist Add-on,Metadata / Catalogación / Estrategia,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
DAMA International,Data Governance / Management,CDMP Specialist: Data Modeling & Design,,Specialist Add-on,Modelado lógico/físico / Normalización,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
DAMA International,Data Governance / Management,CDMP Specialist: Data Warehousing & Business Intelligence,,Specialist Add-on,Arquitectura DW / ETL / BI Reporting,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
DAMA International,Data Governance / Management,CDMP Specialist: Reference & Master Data Management,,Specialist Add-on,MDM / Golden Record / Estrategias de MDM,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
DAMA International,Data Governance / Management,CDMP Specialist: Data Integration & Interoperability,,Specialist Add-on,Patrones de integración / APIs / Pipelines,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/
Astronomer,Data Engineering / Orquestación,Astronomer Certification for Apache Airflow Fundamentals (Airflow 2),,Foundational,Arquitectura Airflow 2 / DAGs / Operators / Scheduling,150,,Activa,Astronomer Academy,https://academy.astronomer.io/astronomer-certified-apache-airflow-core-exam
Astronomer,Data Engineering / Orquestación,Astronomer Certification for Apache Airflow 3 Fundamentals,,Foundational,Airflow 3 / Assets / Nuevo Task SDK / Scheduling,150,,Activa,Astronomer Academy,https://academy.astronomer.io/certification-exam-apache-airflow-3-fundamentals
Astronomer,Data Engineering / Orquestación,Astronomer Certification: DAG Authoring for Apache Airflow (Airflow 2),,Advanced,Dynamic Task Mapping / TaskFlow API / Custom Operators,150,,Activa,Astronomer Academy,https://academy.astronomer.io/astronomer-certification-apache-airflow-dag-authoring
Astronomer,Data Engineering / Orquestación,Astronomer Certification: DAG Authoring for Apache Airflow 3,,Advanced,Airflow 3 DAG Authoring / Asset-driven Scheduling,150,,Activa,Astronomer Academy,https://academy.astronomer.io/certification-exam-dag-authoring-airflow-3
